Fixation X,Fixation Y,Valid Fixation
0.44963017,0.4203968,1
0.44433994,0.4114463,1
0.44436855,0.41026539,1
0.46595779,0.41114861,1
0.50138657,0.41459576,1
0.50142986,0.41682167,1
0.49971733,0.42252945,1
0.50062939,0.42554821,1
0.49759357,0.42746815,1
0.48865673,0.43198177,1
0.48455219,0.43016586,1
0.48346241,0.40651081,1
0.4811887,0.38243992,1
0.50778358,0.38044815,1
0.2961717,0.37983944,1
0.29598631,0.37983944,1
0.29308094,0.37397541,1
0.29159712,0.37788475,1
0.29001207,0.37635574,1
0.28898891,0.37528019,1
0.28864916,0.37451412,1
0.28613834,0.3746759,1
0.2866106,0.37830448,1
0.28455296,0.37504635,1
0.27502754,0.38780712,1
0.26828936,0.40261337,1
0.26920961,0.39982025,1
0.27019831,0.3954475,1
0.27098022,0.39598782,1
0.27670864,0.39390717,1
0.28008661,0.39994141,1
0.28061016,0.41354553,1
0.27794493,0.40984558,1
0.27872959,0.40923183,1
0.27109257,0.40099323,1
0.26479258,0.39898125,1
0.2668552,0.39959488,1
0.26896015,0.39840942,1
0.26975407,0.39822693,1
0.27134109,0.39515369,1
0.2727734,0.39546585,1
0.25793798,0.39404762,1
0.46514019,0.37288971,1
0.46514019,0.34750626,1
0.4707452,0.33968021,1
0.47194542,0.33722492,1
0.46974953,0.33732666,1
0.46966587,0.33703476,1
0.46960461,0.34140018,1
0.46769863,0.34315609,1
0.47266586,0.34966763,1
0.46286869,0.35319771,1
0.44641716,0.34152,1
0.44243526,0.33098167,1
0.44346096,0.32768581,1
0.45074467,0.32484631,1
0.46219185,0.32535358,1
0.4644939,0.32715954,1
0.45426102,0.3303315,1
0.54815845,0.35626987,1
0.54815845,0.34758293,1
0.54548023,0.34639015,1
0.54540573,0.34639015,1
0.54539955,0.34639015,1
0.54775043,0.34914989,1
0.54450428,0.34211536,1
0.54510117,0.34075077,1
0.56048771,0.3605299,1
0.58452457,0.40624233,1
0.58622231,0.42774769,1
0.58675571,0.43102909,1
0.58466736,0.42682583,1
0.57453724,0.42551392,1
0.57461773,0.42263203,1
0.57510677,0.42087334,1
0.57508629,0.42397003,1
0.57626637,0.42410995,1
0.5767207,0.42284698,1
0.54177906,0.43146305,1
0.53951466,0.42878574,1
0.53733219,0.39983307,1
0.5347308,0.39342392,1
0.53197063,0.38720112,1
0.53120125,0.38416775,1
0.52866714,0.38236347,1
0.5228194,0.38438828,1
0.50798714,0.37455849,1
0.49621578,0.34672703,1
0.49676975,0.34019238,1
0.49801571,0.3253204,1
0.50093571,0.34845905,1
0.50226673,0.36914719,1
0.50680511,0.38191227,1
0.50885315,0.38560677,1
0.51307858,0.3957922,1
0.51562134,0.40050495,1
0.51792908,0.39685455,1
0.52008545,0.40537407,1
0.52307545,0.41828381,1
0.52415485,0.44199596,1
0.5216111,0.44856995,1
0.52605316,0.44863998,1
0.54181084,0.45739212,1
0.56508644,0.47057297,1
0.57410244,0.47262222,1
0.57694889,0.48189854,1
0.57863178,0.46280991,1
0.58141216,0.43754173,1
0.58581242,0.43449284,1
0.57877274,0.43790958,1
0.6775309,0.45512508,1
0.6843499,0.45956879,1
0.69025368,0.45896404,1
0.69314949,0.46180271,1
0.69611229,0.4517469,1
0.69680573,0.4409623,1
0.69664391,0.43775635,1
0.72099586,0.40516174,1
0.74305107,0.40202862,1
0.75555992,0.39659439,1
0.75702339,0.39941158,1
0.7531601,0.39411327,1
0.80479401,0.47208313,1
0.80479401,0.48062588,1
0.80099602,0.4908556,1
0.7977079,0.48494568,1
0.79660439,0.48921783,1
0.79622681,0.48491108,1
0.79556732,0.48593246,1
0.7873381,0.48163162,1
0.77476158,0.45404743,1
0.72390778,0.44915539,1
0.7224408,0.44685696,1
0.71829498,0.40174099,1
0.71860283,0.39230602,1
0.71916718,0.38664314,1
0.71915695,0.38389389,1
0.72937386,0.37787113,1
0.61486664,0.39418709,1
0.61419888,0.40491882,1
0.61419888,0.41261681,1
0.60902126,0.41493809,1
0.60395767,0.4279911,1
0.59882465,0.44495777,1
